DATA source,,,,,,,,,
https://population.un.org/wpp/Download/Standard/MostUsed/,,,,,,,,,
https://tntcat.iiasa.ac.at/SspDb/dsd?Action=htmlpage&page=10,,,,,,,,,
https://databank.worldbank.org/source/world-development-indicators/Series/AG.LND.TOTL.K2,,,,,,,,,
Category,Pop-2020,Pop-2030,Pop-2040,Pop-2050,"GDP/PPP,2020","GDP/PPP,2030","GDP/PPP,2040","GDP/PPP,2050",Land area (km2)
Equatorial Guinea,57.00,71.00,86.00,99.00,"31,542","38,771","47,660","57,770","28,050"
Eritrea,29.00,35.00,42.00,49.00,532.00,801.00,"1,516","3,049","121,041"
Estonia,31.00,30.00,28.00,27.00,"24,709","33,512","43,180","51,310","42,750"
Eswatini,68.00,75.00,86.00,95.00,"4,507","6,424","10,385","16,477","17,200"
Ethiopia,117.00,149.00,182.00,215.00,"1,469","2,619","5,234","10,085","1,128,571"
Falkland Islands (Islas Malvinas),0.00,0.00,0.00,0.00,86166.17,102976.55,123066.51,147075.88,"12,173"
Faroe Islands,38.00,39.00,41.00,43.00,63710.38,76139.81,90994.12,108746.39,"1,366"
Fiji,50.00,54.00,57.00,60.00,"4,834","6,930","11,022","17,133","18,270"
Finland,18.00,18.00,18.00,18.00,"37,150","42,661","49,888","56,597","303,940"
France,117.00,119.00,120.00,119.00,"32,396","37,404","44,447","51,807","547,557"
French Polynesia,82.00,88.00,93.00,94.00,"18,148","20,408","24,748","30,216","3,471"
Gabon,9.00,11.00,13.00,15.00,"16,010","21,229","28,924","38,363","257,670"
"Gambia, The",254.00,322.00,394.00,462.00,"2,483","4,160","7,479","12,847","10,120"
Georgia,54.00,53.00,51.00,49.00,"8,462","14,362","22,996","32,617","69,490"
Germany,239.00,237.00,233.00,226.00,"38,793","43,694","50,685","58,061","349,390"
Ghana,141.00,170.00,200.00,230.00,"2,646","4,730","8,634","14,513","227,533"
Gibraltar,3271.00,3277.00,3233.00,3136.00,73737.21,88122.79,105314.90,125861.05,10.00
Greece,80.00,77.00,74.00,70.00,"25,334","32,193","40,734","48,843","128,900"
Grenada,364.00,383.00,395.00,401.00,0.00,0.00,0.00,0.00,340.00
Guam,313.00,334.00,351.00,362.00,39012.60,46623.67,55719.60,66590.08,540.00
Guatemala,162.00,187.00,210.00,230.00,"4,990","7,794","12,902","20,427","107,160"
Guernsey,981.00,1018.00,1040.00,1039.00,52500.00,62742.36,74982.93,89611.54,78.00
Guinea,54.00,68.00,82.00,96.00,"2,269","6,318","14,002","25,204","245,720"
Guinea-Bissau,72.00,88.00,106.00,123.00,"1,406","2,589","5,546","11,098","28,120"
Guyana,4.00,4.00,4.00,4.00,"4,836","7,547","11,907","18,539","196,850"
Haiti,410.00,461.00,507.00,547.00,"1,548","3,003","6,257","11,810","27,560"
Honduras,93.00,107.00,120.00,131.00,"4,299","6,649","11,237","18,227","111,890"
Hungary,108.00,107.00,102.00,97.00,"19,826","25,464","32,341","39,094","91,260"
Iceland,4.00,4.00,4.00,4.00,"38,030","46,096","55,477","64,155","100,830"
India,470.00,510.00,542.00,562.00,"5,079","9,108","15,581","23,798","2,973,190"
Indonesia,142.00,153.00,161.00,166.00,"6,759","12,636","22,045","33,521","1,877,519"
"Iran, Islamic Rep.",54.00,57.00,59.00,61.00,"11,974","15,737","21,229","26,864","1,622,500"
Iraq,98.00,122.00,147.00,172.00,"6,369","8,587","11,425","14,696","434,128"
Ireland,72.00,77.00,81.00,84.00,"40,016","45,547","51,228","55,889","68,890"
Isle of Man,147.00,150.00,152.00,152.00,84549.21,101044.14,120757.10,144315.91,570.00
Israel,405.00,468.00,533.00,600.00,"32,774","40,220","49,174","58,061","21,640"
Italy,201.00,194.00,187.00,177.00,"29,043","33,399","39,326","46,053","295,717"
Jamaica,260.00,259.00,249.00,230.00,"7,684","9,911","13,949","19,765","10,830"
